#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 02 10 26 999 99.0 99.0  0.88 14.29  3.92  72 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 02 10 56 999 99.0 99.0  0.91 15.38  3.97  79 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 02 11 26 999 99.0 99.0  0.87 14.29  3.89  72 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 02 11 56 999 99.0 99.0  0.87 15.38  3.95  66 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 02 12 26 999 99.0 99.0  0.80 14.29  4.00  79 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 02 12 56 999 99.0 99.0  0.76 14.29  4.09  61 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 02 13 26 999 99.0 99.0  0.78 15.38  3.99  82 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 02 13 56 999 99.0 99.0  0.73 13.33  3.70  59 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 02 14 26 999 99.0 99.0  0.74 14.29  4.11  71 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 02 14 56 999 99.0 99.0  0.71 14.29  3.94  71 9999.0 999.0  12.5 999.0 99.0 99.00
2022 01 02 15 26 999 99.0 99.0  0.58 15.38  5.29  80 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 02 15 56 999 99.0 99.0  0.56 14.29  5.50  79 9999.0 999.0  12.6 999.0 99.0 99.00
2022 01 02 16 26 999 99.0 99.0  0.56 14.29  5.73  76 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 16 56 999 99.0 99.0  0.58 14.29  5.76  82 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 17 26 999 99.0 99.0  0.53 14.29  5.49  66 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 17 56 999 99.0 99.0  0.59 14.29  6.49  76 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 18 26 999 99.0 99.0  0.58 14.29  5.11  79 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 18 56 999 99.0 99.0  0.56 13.33  4.83  73 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 19 26 999 99.0 99.0  0.58 15.38  4.67  85 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 19 56 999 99.0 99.0  0.55 14.29  4.81  65 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 20 26 999 99.0 99.0  0.58 13.33  5.60  68 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 20 56 999 99.0 99.0  0.57 12.50  5.12  64 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 21 26 999 99.0 99.0  0.57 13.33  4.89  80 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 21 56 999 99.0 99.0  0.65 14.29  4.74  73 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 22 26 999 99.0 99.0  0.65 13.33  4.51  66 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 22 56 999 99.0 99.0  0.64 14.29  4.25  65 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 23 26 999 99.0 99.0  0.67 14.29  5.12  68 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 02 23 56 999 99.0 99.0  0.66 13.33  5.04  78 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 00 26 999 99.0 99.0  0.65 14.29  5.90  71 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 00 56 999 99.0 99.0  0.63 12.50  5.86  82 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 01 26 999 99.0 99.0  0.60 14.29  5.91  78 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 01 56 999 99.0 99.0  0.58 14.29  5.74  93 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 02 26 999 99.0 99.0  0.62 13.33  5.97  80 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 02 56 999 99.0 99.0  0.58 14.29  5.92  83 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 03 26 999 99.0 99.0  0.59 13.33  6.43  72 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 03 56 999 99.0 99.0  0.53 14.29  5.68  79 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 04 26 999 99.0 99.0  0.57 13.33  5.61  87 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 04 56 999 99.0 99.0  0.57 14.29  5.73  78 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 05 26 999 99.0 99.0  0.51 13.33  6.65  68 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 05 56 999 99.0 99.0  0.49 15.38  7.26  78 9999.0 999.0  12.7 999.0 99.0 99.00
2022 01 03 06 26 999 99.0 99.0  0.55 14.29  8.60  79 9999.0 999.0  12.7 999.0 99.0 99.00
